Setting,Scenario,Protocol,Seed,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
udp_burst,satellite_geo,TcpSwift,42,6.591100,0.659110,633.998302,3.964835,0.000000,0.981554,comparison-udp/satellite_geo_TcpSwift_s42.flowmonitor
udp_burst,satellite_geo,TcpSwift,43,6.591100,0.659110,633.998302,3.964835,0.000000,0.981554,comparison-udp/satellite_geo_TcpSwift_s43.flowmonitor
udp_burst,satellite_geo,TcpSwift,44,6.591100,0.659110,633.998302,3.964835,0.000000,0.981554,comparison-udp/satellite_geo_TcpSwift_s44.flowmonitor
udp_burst,wan_longhaul,TcpBbr,42,741.855298,0.741855,81.976208,0.012031,2.177145,0.998850,comparison-udp/wan_longhaul_TcpBbr_s42.flowmonitor
udp_burst,wan_longhaul,TcpBbr,43,691.441281,0.691441,65.572073,0.011548,2.863792,0.974437,comparison-udp/wan_longhaul_TcpBbr_s43.flowmonitor
udp_burst,wan_longhaul,TcpBbr,44,777.526678,0.777527,89.025686,0.010774,1.296376,0.999070,comparison-udp/wan_longhaul_TcpBbr_s44.flowmonitor
udp_burst,wan_longhaul,TcpCubic,42,721.104583,0.721105,31.009637,0.025355,0.077244,0.999704,comparison-udp/wan_longhaul_TcpCubic_s42.flowmonitor
udp_burst,wan_longhaul,TcpCubic,43,721.104583,0.721105,31.009637,0.025355,0.077244,0.999704,comparison-udp/wan_longhaul_TcpCubic_s43.flowmonitor
udp_burst,wan_longhaul,TcpCubic,44,721.104583,0.721105,31.009637,0.025355,0.077244,0.999704,comparison-udp/wan_longhaul_TcpCubic_s44.flowmonitor
udp_burst,wan_longhaul,TcpNewReno,42,598.493822,0.598494,28.805383,0.015609,0.184088,0.985684,comparison-udp/wan_longhaul_TcpNewReno_s42.flowmonitor
udp_burst,wan_longhaul,TcpNewReno,43,598.493822,0.598494,28.805383,0.015609,0.184088,0.985684,comparison-udp/wan_longhaul_TcpNewReno_s43.flowmonitor
udp_burst,wan_longhaul,TcpNewReno,44,598.493822,0.598494,28.805383,0.015609,0.184088,0.985684,comparison-udp/wan_longhaul_TcpNewReno_s44.flowmonitor
udp_burst,wan_longhaul,TcpSwift,42,736.101356,0.736101,39.790280,0.046943,0.000000,1.000000,comparison-udp/wan_longhaul_TcpSwift_s42.flowmonitor
udp_burst,wan_longhaul,TcpSwift,43,736.101356,0.736101,39.790280,0.046943,0.000000,1.000000,comparison-udp/wan_longhaul_TcpSwift_s43.flowmonitor
udp_burst,wan_longhaul,TcpSwift,44,736.101356,0.736101,39.790280,0.046943,0.000000,1.000000,comparison-udp/wan_longhaul_TcpSwift_s44.flowmonitor
udp_burst,wan_metro,TcpBbr,42,697.061402,0.697061,5.418887,0.006199,0.000000,0.708259,comparison-udp/wan_metro_TcpBbr_s42.flowmonitor
udp_burst,wan_metro,TcpBbr,43,754.298727,0.754299,5.701256,0.006309,0.000000,0.895297,comparison-udp/wan_metro_TcpBbr_s43.flowmonitor
udp_burst,wan_metro,TcpBbr,44,694.759499,0.694759,5.379602,0.006130,0.000000,0.707236,comparison-udp/wan_metro_TcpBbr_s44.flowmonitor
udp_burst,wan_metro,TcpCubic,42,800.250597,0.800251,6.683149,0.044522,0.000000,0.999940,comparison-udp/wan_metro_TcpCubic_s42.flowmonitor
udp_burst,wan_metro,TcpCubic,43,800.250597,0.800251,6.683149,0.044522,0.000000,0.999940,comparison-udp/wan_metro_TcpCubic_s43.flowmonitor
udp_burst,wan_metro,TcpCubic,44,800.250597,0.800251,6.683149,0.044522,0.000000,0.999940,comparison-udp/wan_metro_TcpCubic_s44.flowmonitor
udp_burst,wan_metro,TcpNewReno,42,798.847799,0.798848,6.873795,0.043985,0.000000,0.999954,comparison-udp/wan_metro_TcpNewReno_s42.flowmonitor
udp_burst,wan_metro,TcpNewReno,43,798.847799,0.798848,6.873795,0.043985,0.000000,0.999954,comparison-udp/wan_metro_TcpNewReno_s43.flowmonitor
udp_burst,wan_metro,TcpNewReno,44,798.847799,0.798848,6.873795,0.043985,0.000000,0.999954,comparison-udp/wan_metro_TcpNewReno_s44.flowmonitor
udp_burst,wan_metro,TcpSwift,42,775.769351,0.775769,3.433815,0.026934,0.000000,0.947968,comparison-udp/wan_metro_TcpSwift_s42.flowmonitor
udp_burst,wan_metro,TcpSwift,43,775.769351,0.775769,3.433815,0.026934,0.000000,0.947968,comparison-udp/wan_metro_TcpSwift_s43.flowmonitor
udp_burst,wan_metro,TcpSwift,44,775.769351,0.775769,3.433815,0.026934,0.000000,0.947968,comparison-udp/wan_metro_TcpSwift_s44.flowmonitor
udp_burst,wifi_n,TcpBbr,42,38.064209,0.761284,74.402830,0.167131,0.000000,0.999818,comparison-udp/wifi_n_TcpBbr_s42.flowmonitor
udp_burst,wifi_n,TcpBbr,43,37.900514,0.758010,78.991580,0.169888,0.000000,0.999913,comparison-udp/wifi_n_TcpBbr_s43.flowmonitor
udp_burst,wifi_n,TcpBbr,44,38.031811,0.760636,74.686402,0.166582,0.000000,0.999777,comparison-udp/wifi_n_TcpBbr_s44.flowmonitor
udp_burst,wifi_n,TcpCubic,42,37.498667,0.749973,38.143780,0.454797,0.000000,0.999796,comparison-udp/wifi_n_TcpCubic_s42.flowmonitor
udp_burst,wifi_n,TcpCubic,43,37.498667,0.749973,38.143780,0.454797,0.000000,0.999796,comparison-udp/wifi_n_TcpCubic_s43.flowmonitor
udp_burst,wifi_n,TcpCubic,44,37.498667,0.749973,38.143780,0.454797,0.000000,0.999796,comparison-udp/wifi_n_TcpCubic_s44.flowmonitor
udp_burst,wifi_n,TcpNewReno,42,35.817786,0.716356,37.719804,0.423394,0.000000,0.999610,comparison-udp/wifi_n_TcpNewReno_s42.flowmonitor
udp_burst,wifi_n,TcpNewReno,43,35.817786,0.716356,37.719804,0.423394,0.000000,0.999610,comparison-udp/wifi_n_TcpNewReno_s43.flowmonitor
udp_burst,wifi_n,TcpNewReno,44,35.817786,0.716356,37.719804,0.423394,0.000000,0.999610,comparison-udp/wifi_n_TcpNewReno_s44.flowmonitor
udp_burst,wifi_n,TcpSwift,42,34.150319,0.683006,31.820864,0.432758,0.000000,0.969386,comparison-udp/wifi_n_TcpSwift_s42.flowmonitor
udp_burst,wifi_n,TcpSwift,43,34.150319,0.683006,31.820864,0.432758,0.000000,0.969386,comparison-udp/wifi_n_TcpSwift_s43.flowmonitor
udp_burst,wifi_n,TcpSwift,44,34.150319,0.683006,31.820864,0.432758,0.000000,0.969386,comparison-udp/wifi_n_TcpSwift_s44.flowmonitor
